;;;;;;;;;Participante doador;;Participante tomador;
Código IF;Quantidade;Taxa % remuneração;Número do negócio;Mercado;Data de referência;Hora;Ação de atualização;Tipo sessão do pregão;Código;Nome doador;Código;Nome tomador
BOVS11;4.752;8,00%;113.950.516;Balcão;17/09/2026;19:09:47;Novo (0);Regular (1);59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA;59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA
PRIO3;300;0,04%;113.949.265;Balcão;17/09/2026;19:05:32;Novo (0);Regular (1);59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA;59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA
CYRE3;1.122;14,24%;113.949.235;Balcão;17/09/2026;19:04:51;Novo (0);Regular (1);59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA;59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA
PRIO3;1.000;0,04%;113.949.245;Balcão;17/09/2026;19:04:51;Novo (0);Regular (1);59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA;59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA
PRIO3;362;0,04%;113.949.254;Balcão;17/09/2026;19:04:51;Novo (0);Regular (1);59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA;59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA
PRIO3;1.000;0,04%;113.949.255;Balcão;17/09/2026;19:04:51;Novo (0);Regular (1);59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA;59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA
PRIO3;100;0,04%;113.949.263;Balcão;17/09/2026;19:04:51;Novo (0);Regular (1);59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA;59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA
PRIO3;59;0,04%;113.949.266;Balcão;17/09/2026;19:04:51;Novo (0);Regular (1);59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA;59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA
PRIO3;250;0,04%;113.949.276;Balcão;17/09/2026;19:04:51;Novo (0);Regular (1);59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA;59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA
PRIO3;50;0,04%;113.949.277;Balcão;17/09/2026;19:04:50;Novo (0);Regular (1);59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA;59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA
PRIO3;544;0,04%;113.949.560;Balcão;17/09/2026;19:04:50;Novo (0);Regular (1);1099;INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA
GGBR4;1.000;0,04%;113.950.450;Balcão;17/09/2026;18:56:13;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
TEND3;287;0,08%;113.950.474;Balcão;17/09/2026;18:56:13;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
VALE3;17;0,02%;113.950.479;Balcão;17/09/2026;18:56:13;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
VALE3;183;0,02%;113.950.489;Balcão;17/09/2026;18:56:13;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
