;;;;;;;;;Participante doador;;Participante tomador;
Código IF;Quantidade;Taxa % remuneração;Número do negócio;Mercado;Data de referência;Hora;Ação de atualização;Tipo sessão do pregão;Código;Nome doador;Código;Nome tomador
DISB34;11.370;0,10%;108.925.399;Eletrônico D+1;22/07/2026;19:17:01;Novo (0);Regular (1);85;BTG PACTUAL CTVM S/A;85;BTG PACTUAL CTVM S/A
BBSE3;2.000.000;0,10%;108.999.915;Balcão;22/07/2026;19:08:38;Novo (0);Regular (1);85;BTG PACTUAL CTVM S/A;85;BTG PACTUAL CTVM S/A
ABEV3;56.970;2,92%;108.955.441;Balcão;22/07/2026;19:06:02;Novo (0);Regular (1);85;BTG PACTUAL CTVM S/A;85;BTG PACTUAL CTVM S/A
PRIO3;698;0,02%;108.999.893;Balcão;22/07/2026;18:56:16;Novo (0);Regular (1);39;AGORA CTVM S/A;39;AGORA CTVM S/A
BBAS3;5.216;0,02%;109.000.620;Balcão;22/07/2026;18:53:04;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
BOVA11;2;1,21%;109.000.618;Balcão;22/07/2026;18:53:04;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
ROXO34;284;0,07%;109.000.619;Balcão;22/07/2026;18:53:04;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
IVVB11;1;0,16%;109.000.626;Balcão;22/07/2026;18:53:03;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
TIMS3;42;0,06%;109.000.627;Balcão;22/07/2026;18:53:03;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
HYPE3;100;0,08%;109.000.622;Balcão;22/07/2026;18:53:03;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
VALE3;600;0,20%;109.000.628;Balcão;22/07/2026;18:53:03;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
ECOR3;1.000;0,06%;109.000.623;Balcão;22/07/2026;18:53:02;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
RECV3;300;1,90%;109.000.621;Balcão;22/07/2026;18:53:02;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
HAPV3;412;0,24%;109.000.624;Balcão;22/07/2026;18:53:02;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
VVEO3;4.896;12,59%;109.000.625;Balcão;22/07/2026;18:53:02;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
PETR4;7;0,06%;109.000.617;Balcão;22/07/2026;18:53:01;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
JHSF3;287;2,52%;109.000.616;Balcão;22/07/2026;18:53:01;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
MYPK3;50;0,04%;109.000.615;Balcão;22/07/2026;18:53:01;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
MYPK3;46;0,04%;109.000.614;Balcão;22/07/2026;18:53:00;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
MYPK3;50;0,04%;109.000.612;Balcão;22/07/2026;18:53:00;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
VIVT3;200;0,10%;109.000.611;Balcão;22/07/2026;18:53:00;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
VVEO3;5.000;12,59%;109.000.613;Balcão;22/07/2026;18:53:00;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
HBOR3;387;1,00%;109.000.609;Balcão;22/07/2026;18:53:00;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
VALE3;200;0,20%;109.000.610;Balcão;22/07/2026;18:53:00;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
ECOR3;1.326;0,06%;109.000.608;Balcão;22/07/2026;18:53:00;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
MYPK3;83;0,04%;109.000.606;Balcão;22/07/2026;18:53:00;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
CVCB3;100;3,98%;109.000.607;Balcão;22/07/2026;18:53:00;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
BRAP4;300;0,02%;109.000.602;Balcão;22/07/2026;18:53:00;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
CSNA3;1.000;0,81%;109.000.603;Balcão;22/07/2026;18:53:00;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
TIMS3;159;0,06%;109.000.604;Balcão;22/07/2026;18:53:00;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
CVCB3;9.500;3,98%;109.000.605;Balcão;22/07/2026;18:53:00;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
HBOR3;3.562;1,00%;109.000.600;Balcão;22/07/2026;18:53:00;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
SCAR3;200;5,40%;109.000.601;Balcão;22/07/2026;18:53:00;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
EGIE3;50;9,72%;109.000.599;Balcão;22/07/2026;18:53:00;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
BBDC4;43;0,02%;109.000.597;Balcão;22/07/2026;18:53:00;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
BMGB4;500;0,07%;109.000.598;Balcão;22/07/2026;18:53:00;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
POMO3;1.000;0,25%;109.000.596;Balcão;22/07/2026;18:53:00;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
VALE3;117;0,20%;109.000.594;Balcão;22/07/2026;18:53:00;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
RANI3;1.000;0,04%;109.000.595;Balcão;22/07/2026;18:53:00;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
VVEO3;4;12,59%;109.000.593;Balcão;22/07/2026;18:53:00;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
HYPE3;100;0,08%;109.000.592;Balcão;22/07/2026;18:53:00;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
VALE3;133;0,20%;109.000.591;Balcão;22/07/2026;18:53:00;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
ECOR3;625;0,06%;109.000.590;Balcão;22/07/2026;18:53:00;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
WEGE3;600;0,03%;109.000.589;Balcão;22/07/2026;18:53:00;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
RBRX11;200;1,65%;109.000.588;Balcão;22/07/2026;18:53:00;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
HBOR3;100;1,00%;109.000.585;Balcão;22/07/2026;18:53:00;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
CVCB3;61;3,98%;109.000.583;Balcão;22/07/2026;18:53:00;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
MYPK3;570;0,04%;109.000.586;Balcão;22/07/2026;18:53:00;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
WEGE3;700;0,03%;109.000.587;Balcão;22/07/2026;18:53:00;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
VVEO3;100;12,59%;109.000.580;Balcão;22/07/2026;18:52:59;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
MYPK3;121;0,04%;109.000.582;Balcão;22/07/2026;18:52:59;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
WEGE3;300;0,03%;109.000.578;Balcão;22/07/2026;18:52:59;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
MYPK3;20;0,04%;109.000.581;Balcão;22/07/2026;18:52:59;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
HBOR3;9.851;1,00%;109.000.579;Balcão;22/07/2026;18:52:59;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
HBOR3;49;1,00%;109.000.584;Balcão;22/07/2026;18:52:59;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
