;;;;;;;;;Participante doador;;Participante tomador;
Código IF;Quantidade;Taxa % remuneração;Número do negócio;Mercado;Data de referência;Hora;Ação de atualização;Tipo sessão do pregão;Código;Nome doador;Código;Nome tomador
USIM5;200;0,02%;102.217.921;Balcão;28/04/2026;18:36:45;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
USIM5;2;0,02%;102.217.922;Balcão;28/04/2026;18:36:45;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
USIM5;1;0,02%;102.217.923;Balcão;28/04/2026;18:36:45;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
USIM5;364;0,02%;102.217.914;Balcão;28/04/2026;18:36:45;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
USIM5;169;0,02%;102.217.913;Balcão;28/04/2026;18:36:45;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
PRIO3;1.800;0,39%;102.217.910;Balcão;28/04/2026;18:36:45;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
USIM5;100;0,02%;102.217.904;Balcão;28/04/2026;18:36:44;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
USIM5;380;0,02%;102.217.895;Balcão;28/04/2026;18:36:42;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
USIM5;200;0,02%;102.217.876;Balcão;28/04/2026;18:36:41;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
BRKM5;500;17,24%;102.217.879;Balcão;28/04/2026;18:36:41;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
USIM5;23.869;0,02%;102.217.873;Balcão;28/04/2026;18:36:41;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
USIM5;310;0,02%;102.217.871;Balcão;28/04/2026;18:36:41;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
USIM5;405;0,02%;102.217.869;Balcão;28/04/2026;18:36:41;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
NATU3;1;0,32%;102.217.864;Balcão;28/04/2026;18:33:22;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
NATU3;50;0,32%;102.217.867;Balcão;28/04/2026;18:33:22;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
NATU3;21;0,32%;102.217.865;Balcão;28/04/2026;18:33:22;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
NATU3;907;0,32%;102.217.863;Balcão;28/04/2026;18:33:22;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
NATU3;5;0,32%;102.217.866;Balcão;28/04/2026;18:33:22;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
NATU3;2;0,32%;102.217.862;Balcão;28/04/2026;18:33:21;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
NATU3;1;0,32%;102.217.856;Balcão;28/04/2026;18:33:21;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
NATU3;50;0,32%;102.217.857;Balcão;28/04/2026;18:33:21;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
NATU3;256;0,32%;102.217.860;Balcão;28/04/2026;18:33:21;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
NATU3;200;0,32%;102.217.861;Balcão;28/04/2026;18:33:21;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
NATU3;2;0,32%;102.217.859;Balcão;28/04/2026;18:33:21;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
NATU3;100;0,32%;102.217.858;Balcão;28/04/2026;18:33:21;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
NATU3;600;0,32%;102.217.855;Balcão;28/04/2026;18:33:21;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
TIMS3;1.200;0,01%;102.217.763;Balcão;28/04/2026;18:32:08;Novo (0);Regular (1);1099;INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;1099;INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA
NATU3;36;0,32%;102.217.834;Balcão;28/04/2026;18:29:14;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
BRKM5;2;17,24%;102.217.822;Balcão;28/04/2026;18:29:14;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
RAIZ4;10;15,80%;102.217.816;Balcão;28/04/2026;18:29:12;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
MGLU3;3;21,84%;102.217.812;Balcão;28/04/2026;18:29:12;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
MGLU3;5;21,84%;102.217.810;Balcão;28/04/2026;18:29:12;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
RAIZ4;500;15,80%;102.217.801;Balcão;28/04/2026;18:29:11;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
MGLU3;248;21,84%;102.217.797;Balcão;28/04/2026;18:29:11;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
MGLU3;50;21,84%;102.217.794;Balcão;28/04/2026;18:29:11;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
BRKM5;50;17,24%;102.217.776;Balcão;28/04/2026;18:29:10;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
USIM5;1.011;0,02%;102.217.751;Balcão;28/04/2026;18:27:42;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
USIM5;789;0,02%;102.217.746;Balcão;28/04/2026;18:27:42;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
BRKM5;20;17,24%;102.217.733;Balcão;28/04/2026;18:27:41;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
CPLE3;2.000;0,05%;102.217.664;Balcão;28/04/2026;18:26:09;Novo (0);Regular (1);27;SANTANDER CCVM S/A;3;XP INVESTIMENTOS CCTVM S/A
CPLE3;1.200;0,05%;102.217.666;Balcão;28/04/2026;18:26:08;Novo (0);Regular (1);27;SANTANDER CCVM S/A;3;XP INVESTIMENTOS CCTVM S/A
CPLE3;873;0,05%;102.217.667;Balcão;28/04/2026;18:26:08;Novo (0);Regular (1);27;SANTANDER CCVM S/A;3;XP INVESTIMENTOS CCTVM S/A
CPLE3;900;0,05%;102.217.665;Balcão;28/04/2026;18:26:08;Novo (0);Regular (1);27;SANTANDER CCVM S/A;3;XP INVESTIMENTOS CCTVM S/A
CPLE3;800;0,05%;102.217.660;Balcão;28/04/2026;18:26:08;Novo (0);Regular (1);27;SANTANDER CCVM S/A;3;XP INVESTIMENTOS CCTVM S/A
CPLE3;2.000;0,05%;102.217.658;Balcão;28/04/2026;18:26:08;Novo (0);Regular (1);27;SANTANDER CCVM S/A;3;XP INVESTIMENTOS CCTVM S/A
CPLE3;850;0,05%;102.217.659;Balcão;28/04/2026;18:26:08;Novo (0);Regular (1);27;SANTANDER CCVM S/A;3;XP INVESTIMENTOS CCTVM S/A
CPLE3;37.434;0,05%;102.217.650;Balcão;28/04/2026;18:26:08;Novo (0);Regular (1);27;SANTANDER CCVM S/A;3;XP INVESTIMENTOS CCTVM S/A
CPLE3;2.000;0,05%;102.217.661;Balcão;28/04/2026;18:26:08;Novo (0);Regular (1);27;SANTANDER CCVM S/A;3;XP INVESTIMENTOS CCTVM S/A
CPLE3;33.100;0,05%;102.217.656;Balcão;28/04/2026;18:26:08;Novo (0);Regular (1);27;SANTANDER CCVM S/A;3;XP INVESTIMENTOS CCTVM S/A
CPLE3;188.337;0,05%;102.217.663;Balcão;28/04/2026;18:26:08;Novo (0);Regular (1);27;SANTANDER CCVM S/A;3;XP INVESTIMENTOS CCTVM S/A
CPLE3;1.450;0,05%;102.217.662;Balcão;28/04/2026;18:26:08;Novo (0);Regular (1);27;SANTANDER CCVM S/A;3;XP INVESTIMENTOS CCTVM S/A
CPLE3;1.000;0,05%;102.217.652;Balcão;28/04/2026;18:26:08;Novo (0);Regular (1);27;SANTANDER CCVM S/A;3;XP INVESTIMENTOS CCTVM S/A
CPLE3;1.400;0,05%;102.217.657;Balcão;28/04/2026;18:26:08;Novo (0);Regular (1);27;SANTANDER CCVM S/A;3;XP INVESTIMENTOS CCTVM S/A
CPLE3;800;0,05%;102.217.653;Balcão;28/04/2026;18:26:08;Novo (0);Regular (1);27;SANTANDER CCVM S/A;3;XP INVESTIMENTOS CCTVM S/A
CPLE3;840;0,05%;102.217.654;Balcão;28/04/2026;18:26:08;Novo (0);Regular (1);27;SANTANDER CCVM S/A;3;XP INVESTIMENTOS CCTVM S/A
CPLE3;800;0,05%;102.217.655;Balcão;28/04/2026;18:26:08;Novo (0);Regular (1);27;SANTANDER CCVM S/A;3;XP INVESTIMENTOS CCTVM S/A
CPLE3;7.000;0,05%;102.217.651;Balcão;28/04/2026;18:26:08;Novo (0);Regular (1);27;SANTANDER CCVM S/A;3;XP INVESTIMENTOS CCTVM S/A
CPLE3;5.883;0,05%;102.217.649;Balcão;28/04/2026;18:26:08;Novo (0);Regular (1);27;SANTANDER CCVM S/A;3;XP INVESTIMENTOS CCTVM S/A
RAIZ4;48;15,00%;102.217.290;Balcão;28/04/2026;18:23:22;Novo (0);Regular (1);39;AGORA CTVM S/A;39;AGORA CTVM S/A
