;;;;;;;;;Participante doador;;Participante tomador;
Código IF;Quantidade;Taxa % remuneração;Número do negócio;Mercado;Data de referência;Hora;Ação de atualização;Tipo sessão do pregão;Código;Nome doador;Código;Nome tomador
ASAI3;369;23,42%;107.121.194;Balcão;29/06/2026;19:29:31;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
ASAI3;679;23,42%;107.121.199;Balcão;29/06/2026;19:29:31;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
ASAI3;193;23,42%;107.121.112;Balcão;29/06/2026;19:29:30;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
ASAI3;3.691;23,42%;107.121.198;Balcão;29/06/2026;19:29:30;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
ASAI3;111;23,42%;107.121.155;Balcão;29/06/2026;19:29:30;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
ASAI3;4.845;23,42%;107.121.204;Balcão;29/06/2026;19:29:30;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
ASAI3;8.427;23,42%;107.121.210;Balcão;29/06/2026;19:29:30;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
ASAI3;2.124;23,42%;107.121.169;Balcão;29/06/2026;19:29:30;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
ASAI3;370;23,42%;107.121.115;Balcão;29/06/2026;19:29:30;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
ASAI3;244;23,42%;107.121.188;Balcão;29/06/2026;19:29:30;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
ASAI3;193;23,42%;107.121.174;Balcão;29/06/2026;19:29:30;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
ASAI3;831;23,42%;107.121.166;Balcão;29/06/2026;19:29:30;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
ASAI3;454;23,42%;107.121.208;Balcão;29/06/2026;19:29:30;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
ASAI3;244;23,42%;107.121.098;Balcão;29/06/2026;19:29:30;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
ASAI3;1.322;23,42%;107.121.159;Balcão;29/06/2026;19:29:30;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
ASAI3;59;23,42%;107.121.147;Balcão;29/06/2026;19:29:27;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
ASAI3;1.249;23,42%;107.121.186;Balcão;29/06/2026;19:29:27;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
ASAI3;663;23,42%;107.121.201;Balcão;29/06/2026;19:29:27;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
ASAI3;657;23,42%;107.121.072;Balcão;29/06/2026;19:29:27;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
