;;;;;;;;;Participante doador;;Participante tomador;
Código IF;Quantidade;Taxa % remuneração;Número do negócio;Mercado;Data de referência;Hora;Ação de atualização;Tipo sessão do pregão;Código;Nome doador;Código;Nome tomador
RAIL3;893.092;10,00%;102.681.985;Eletrônico D+1;05/05/2026;19:03:58;Novo (0);Regular (1);85;BTG PACTUAL CTVM S/A;85;BTG PACTUAL CTVM S/A
RENT3;5;1,40%;102.683.547;Balcão;05/05/2026;19:02:11;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
PETR4;100;0,08%;102.683.546;Balcão;05/05/2026;19:01:59;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
PETR4;400;0,08%;102.683.545;Balcão;05/05/2026;19:01:59;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
BBAS3;2;0,03%;102.683.536;Balcão;05/05/2026;18:58:43;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
BBAS3;28;0,03%;102.683.541;Balcão;05/05/2026;18:58:43;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
VIVA3;4;1,41%;102.683.543;Balcão;05/05/2026;18:58:43;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
BBAS3;150;0,03%;102.683.538;Balcão;05/05/2026;18:58:43;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
GGBR4;500;0,45%;102.683.544;Balcão;05/05/2026;18:58:43;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
SBSP3;130;0,07%;102.683.537;Balcão;05/05/2026;18:58:43;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
BBAS3;25;0,03%;102.683.539;Balcão;05/05/2026;18:58:43;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
SBSP3;33;0,07%;102.683.540;Balcão;05/05/2026;18:58:43;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
USIM5;228;0,02%;102.683.542;Balcão;05/05/2026;18:58:43;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
BBAS3;1;0,03%;102.683.535;Balcão;05/05/2026;18:58:43;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
BOVA11;4;0,60%;102.683.445;Balcão;05/05/2026;18:58:41;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
GGBR4;2.036;0,45%;102.683.450;Balcão;05/05/2026;18:58:41;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
UNIP6;50;0,06%;102.683.534;Balcão;05/05/2026;18:58:40;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
KLBN11;300;0,09%;102.683.533;Balcão;05/05/2026;18:58:40;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
CVCB3;4;4,61%;102.683.515;Balcão;05/05/2026;18:58:40;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
CVCB3;20;4,61%;102.683.532;Balcão;05/05/2026;18:58:40;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
ITUB4;1;0,03%;102.683.511;Balcão;05/05/2026;18:58:40;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
MGLU3;10;20,68%;102.683.513;Balcão;05/05/2026;18:58:40;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
CVCB3;80;4,61%;102.683.514;Balcão;05/05/2026;18:58:40;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
ITUB4;51;0,03%;102.683.507;Balcão;05/05/2026;18:58:40;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
VALE3;40;0,03%;102.683.510;Balcão;05/05/2026;18:58:39;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
VIVT3;490;0,07%;102.683.508;Balcão;05/05/2026;18:58:39;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
TEND3;16;0,07%;102.683.509;Balcão;05/05/2026;18:58:39;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
VULC3;154;0,33%;102.683.503;Balcão;05/05/2026;18:58:39;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
CACR11;20;3,05%;102.683.505;Balcão;05/05/2026;18:58:39;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
TAEE11;8;0,69%;102.683.506;Balcão;05/05/2026;18:58:39;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
CXSE3;60;0,02%;102.683.504;Balcão;05/05/2026;18:58:39;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
VIVT3;32;0,07%;102.683.499;Balcão;05/05/2026;18:58:39;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
HGRU11;1;0,14%;102.683.502;Balcão;05/05/2026;18:58:39;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
KLBN11;10;0,09%;102.683.500;Balcão;05/05/2026;18:58:39;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
VALE3;100;0,03%;102.683.501;Balcão;05/05/2026;18:58:39;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
CEAB3;195;0,04%;102.683.497;Balcão;05/05/2026;18:58:39;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
MOVI3;10;0,25%;102.683.494;Balcão;05/05/2026;18:58:39;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
ITUB4;11;0,03%;102.683.493;Balcão;05/05/2026;18:58:39;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
GOAU4;1.000;0,09%;102.683.496;Balcão;05/05/2026;18:58:39;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
TAEE11;33;0,69%;102.683.498;Balcão;05/05/2026;18:58:39;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
CACR11;530;3,05%;102.683.491;Balcão;05/05/2026;18:58:39;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
CACR11;1;3,05%;102.683.495;Balcão;05/05/2026;18:58:39;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
SMTO3;293;2,11%;102.683.492;Balcão;05/05/2026;18:58:39;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
PCAR3;4.000;32,46%;102.683.490;Balcão;05/05/2026;18:58:39;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
TEND3;64;0,07%;102.683.488;Balcão;05/05/2026;18:58:39;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
CVCB3;32;4,61%;102.683.489;Balcão;05/05/2026;18:58:38;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
BBDC4;133;0,05%;102.683.487;Balcão;05/05/2026;18:58:38;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
ITUB4;532;0,03%;102.683.486;Balcão;05/05/2026;18:58:38;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
CVCB3;115;4,61%;102.683.482;Balcão;05/05/2026;18:58:38;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
CXSE3;200;0,02%;102.683.484;Balcão;05/05/2026;18:58:38;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
BRSR6;6;0,20%;102.683.483;Balcão;05/05/2026;18:58:38;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
CXSE3;240;0,02%;102.683.485;Balcão;05/05/2026;18:58:38;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
CVCB3;148;4,61%;102.683.481;Balcão;05/05/2026;18:58:38;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
VULC3;30;0,33%;102.683.477;Balcão;05/05/2026;18:58:38;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
CVCB3;121;4,61%;102.683.480;Balcão;05/05/2026;18:58:38;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
CVCB3;173;4,61%;102.683.479;Balcão;05/05/2026;18:58:38;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
JBSS32;4;0,08%;102.683.478;Balcão;05/05/2026;18:58:38;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
GOAU4;555;0,09%;102.683.476;Balcão;05/05/2026;18:58:38;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
CVCB3;1.000;4,61%;102.683.475;Balcão;05/05/2026;18:58:38;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
TAEE11;100;0,69%;102.683.466;Balcão;05/05/2026;18:58:38;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
SMTO3;77;2,11%;102.683.471;Balcão;05/05/2026;18:58:38;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
CXSE3;100;0,02%;102.683.470;Balcão;05/05/2026;18:58:38;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
CACR11;2;3,05%;102.683.474;Balcão;05/05/2026;18:58:38;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
BRSR6;144;0,20%;102.683.473;Balcão;05/05/2026;18:58:38;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
PETR3;100;1,21%;102.683.472;Balcão;05/05/2026;18:58:38;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
CVCB3;1.471;4,61%;102.683.469;Balcão;05/05/2026;18:58:37;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
BBAS3;50;0,03%;102.683.443;Balcão;05/05/2026;18:58:37;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
BBAS3;400;0,03%;102.683.435;Balcão;05/05/2026;18:58:37;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
BBAS3;177;0,03%;102.683.436;Balcão;05/05/2026;18:58:37;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
BPAC11;138;0,05%;102.683.444;Balcão;05/05/2026;18:58:37;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
CVCB3;100;4,61%;102.683.527;Balcão;05/05/2026;18:58:37;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
VIVT3;10;0,07%;102.683.531;Balcão;05/05/2026;18:58:37;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
CVCB3;115;4,61%;102.683.525;Balcão;05/05/2026;18:58:37;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
VULC3;6;0,33%;102.683.529;Balcão;05/05/2026;18:58:37;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
CVCB3;100;4,61%;102.683.530;Balcão;05/05/2026;18:58:37;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
MOVI3;55;0,25%;102.683.526;Balcão;05/05/2026;18:58:37;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
TAEE11;45;0,69%;102.683.528;Balcão;05/05/2026;18:58:36;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
KLBN11;93;0,09%;102.683.524;Balcão;05/05/2026;18:58:36;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
CVCB3;20;4,61%;102.683.522;Balcão;05/05/2026;18:58:36;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
CVCB3;18;4,61%;102.683.523;Balcão;05/05/2026;18:58:36;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
CVCB3;80;4,61%;102.683.521;Balcão;05/05/2026;18:58:36;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
CXSE3;400;0,02%;102.683.520;Balcão;05/05/2026;18:58:36;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
CVCB3;10;4,61%;102.683.519;Balcão;05/05/2026;18:58:36;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
TOTS3;200;0,14%;102.683.518;Balcão;05/05/2026;18:58:36;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
BBAS3;700;0,03%;102.683.434;Balcão;05/05/2026;18:58:36;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
MGLU3;13;20,68%;102.683.517;Balcão;05/05/2026;18:58:36;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
MGLU3;8;20,68%;102.683.516;Balcão;05/05/2026;18:58:36;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
TEND3;35;0,07%;102.683.512;Balcão;05/05/2026;18:58:36;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
CYRE3;67;7,86%;102.683.465;Balcão;05/05/2026;18:58:36;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
RECV3;280;5,47%;102.683.468;Balcão;05/05/2026;18:58:36;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
BRAV3;100;0,40%;102.683.467;Balcão;05/05/2026;18:58:36;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
RECV3;100;5,47%;102.683.464;Balcão;05/05/2026;18:58:35;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
BRSR6;450;0,20%;102.683.461;Balcão;05/05/2026;18:58:35;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
BRSR6;65;0,20%;102.683.463;Balcão;05/05/2026;18:58:35;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
CYRE3;203;7,86%;102.683.459;Balcão;05/05/2026;18:58:35;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
CYRE3;678;7,86%;102.683.462;Balcão;05/05/2026;18:58:35;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
CSMG3;5;1,78%;102.683.458;Balcão;05/05/2026;18:58:35;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AZZA3;35;51,32%;102.683.460;Balcão;05/05/2026;18:58:35;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
BBSE3;9;0,04%;102.683.457;Balcão;05/05/2026;18:58:35;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AZZA3;40;51,32%;102.683.454;Balcão;05/05/2026;18:58:35;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AZZA3;186;51,32%;102.683.456;Balcão;05/05/2026;18:58:35;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
BRSR6;1.635;0,20%;102.683.453;Balcão;05/05/2026;18:58:35;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
RAIZ4;163;13,19%;102.683.455;Balcão;05/05/2026;18:58:35;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
BRAP4;100;0,04%;102.683.452;Balcão;05/05/2026;18:58:35;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AZZA3;649;51,32%;102.683.451;Balcão;05/05/2026;18:58:35;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
CVCB3;100;4,61%;102.683.448;Balcão;05/05/2026;18:58:35;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
JBSS32;15;0,08%;102.683.449;Balcão;05/05/2026;18:58:35;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
MGLU3;2;20,68%;102.683.446;Balcão;05/05/2026;18:58:35;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
CXSE3;90;0,02%;102.683.442;Balcão;05/05/2026;18:58:35;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
CVCB3;3;4,61%;102.683.447;Balcão;05/05/2026;18:58:35;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
GOAU4;1.445;0,09%;102.683.437;Balcão;05/05/2026;18:58:35;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
CVCB3;183;4,61%;102.683.440;Balcão;05/05/2026;18:58:35;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
CYRE3;52;7,86%;102.683.441;Balcão;05/05/2026;18:58:34;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
