;;;;;;;;;Participante doador;;Participante tomador;
Código IF;Quantidade;Taxa % remuneração;Número do negócio;Mercado;Data de referência;Hora;Ação de atualização;Tipo sessão do pregão;Código;Nome doador;Código;Nome tomador
MRVE3;50.000;50,00%;110.746.082;Balcão;13/08/2026;19:34:57;Novo (0);Regular (1);85;BTG PACTUAL CTVM S/A;85;BTG PACTUAL CTVM S/A
TOTS3;158.400;0,56%;110.669.139;Eletrônico D+1;13/08/2026;19:26:31;Novo (0);Regular (1);3;XP INVESTIMENTOS CCTVM S/A;3;XP INVESTIMENTOS CCTVM S/A
HAPV3;200.000;12,00%;110.744.412;Balcão;13/08/2026;19:20:33;Novo (0);Regular (1);27;SANTANDER CCVM S/A;127;TULLETT PREBON BRASIL CVC LTDA.
CURY3;59.890;75,00%;110.745.722;Balcão;13/08/2026;19:10:39;Novo (0);Regular (1);16;J.P. MORGAN CCVM S/A;16;J.P. MORGAN CCVM S/A
CMIN3;2.041;51,85%;110.746.078;Balcão;13/08/2026;19:10:17;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
CMIN3;13;51,85%;110.746.069;Balcão;13/08/2026;19:08:41;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
BBSE3;21;4,10%;110.746.071;Balcão;13/08/2026;19:08:41;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
BBSE3;61;4,10%;110.746.070;Balcão;13/08/2026;19:08:41;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
CMIN3;117;51,85%;110.746.077;Balcão;13/08/2026;19:08:41;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
VIVT3;51;0,11%;110.746.072;Balcão;13/08/2026;19:08:41;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
BMGB4;45;0,08%;110.746.075;Balcão;13/08/2026;19:08:41;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
BMOB3;500;0,08%;110.746.074;Balcão;13/08/2026;19:08:41;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
CMIN3;121;51,85%;110.746.073;Balcão;13/08/2026;19:08:41;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
USIM5;10;0,07%;110.746.076;Balcão;13/08/2026;19:08:41;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
VBBR3;100;0,04%;110.746.068;Balcão;13/08/2026;19:08:40;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
VITT3;1.000;0,51%;110.746.067;Balcão;13/08/2026;19:08:40;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
VITT3;1.140;0,51%;110.746.065;Balcão;13/08/2026;19:08:40;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
VALE3;75;0,71%;110.746.063;Balcão;13/08/2026;19:08:40;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
CMIN3;300;51,85%;110.746.066;Balcão;13/08/2026;19:08:40;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
BIZD11;6;5,00%;110.746.064;Balcão;13/08/2026;19:08:40;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
CMIN3;128;51,85%;110.746.055;Balcão;13/08/2026;19:08:40;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
JALL3;325;0,04%;110.746.056;Balcão;13/08/2026;19:08:40;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
VIVT3;90;0,11%;110.746.062;Balcão;13/08/2026;19:08:40;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
IVVB11;7;0,90%;110.746.061;Balcão;13/08/2026;19:08:40;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
WEGE3;11;0,02%;110.746.059;Balcão;13/08/2026;19:08:40;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
BBSE3;100;4,10%;110.746.060;Balcão;13/08/2026;19:08:40;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
USIM5;3.242;0,07%;110.746.058;Balcão;13/08/2026;19:08:40;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
VIVT3;4;0,11%;110.746.057;Balcão;13/08/2026;19:08:40;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
VULC3;10;0,11%;110.746.051;Balcão;13/08/2026;19:08:40;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
CMIN3;46;51,85%;110.746.053;Balcão;13/08/2026;19:08:40;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
VITT3;980;0,51%;110.746.050;Balcão;13/08/2026;19:08:40;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
WEGE3;400;0,02%;110.746.054;Balcão;13/08/2026;19:08:40;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
CMIN3;22;51,85%;110.746.049;Balcão;13/08/2026;19:08:39;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
VIVT3;15;0,11%;110.746.052;Balcão;13/08/2026;19:08:39;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
USIM5;30;0,07%;110.746.048;Balcão;13/08/2026;19:08:39;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
BBSE3;53;4,10%;110.746.047;Balcão;13/08/2026;19:08:39;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
CMIN3;20;51,85%;110.746.046;Balcão;13/08/2026;19:08:39;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
CMIN3;15;51,85%;110.746.045;Balcão;13/08/2026;19:08:39;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
