;;;;;;;;;Participante doador;;Participante tomador;
Código IF;Quantidade;Taxa % remuneração;Número do negócio;Mercado;Data de referência;Hora;Ação de atualização;Tipo sessão do pregão;Código;Nome doador;Código;Nome tomador
GGBR4;4.000;0,42%;102.887.762;Balcão;07/05/2026;19:15:19;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
GGBR4;29.532;0,42%;102.915.396;Eletrônico D+1;07/05/2026;19:15:05;Novo (0);Regular (1);3;XP INVESTIMENTOS CCTVM S/A;3;XP INVESTIMENTOS CCTVM S/A
AURE3;8.248;0,05%;102.929.418;Balcão;07/05/2026;18:59:53;Novo (0);Regular (1);2659;BANCO DO BRASIL S/A;8;UBS BRASIL CCTVM S/A
EQTL3;100;0,04%;102.931.038;Balcão;07/05/2026;18:57:35;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
NVDC34;9;0,10%;102.931.039;Balcão;07/05/2026;18:57:35;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
HAPV3;1;24,46%;102.931.040;Balcão;07/05/2026;18:57:35;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
SMFT3;23;0,05%;102.930.987;Balcão;07/05/2026;18:57:34;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
INTB3;2.375;0,13%;102.931.002;Balcão;07/05/2026;18:57:34;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
PETR4;6;0,07%;102.930.999;Balcão;07/05/2026;18:57:34;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
KLBN11;3.730;0,10%;102.930.997;Balcão;07/05/2026;18:57:33;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
BRAV3;48;0,25%;102.930.978;Balcão;07/05/2026;18:57:33;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
PETR4;50;0,07%;102.930.994;Balcão;07/05/2026;18:57:33;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
CSMG3;102;0,10%;102.930.995;Balcão;07/05/2026;18:57:33;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
SMFT3;30;0,05%;102.930.990;Balcão;07/05/2026;18:57:33;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
TAEE11;1;0,74%;102.930.993;Balcão;07/05/2026;18:57:33;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
PETR4;100;0,07%;102.931.000;Balcão;07/05/2026;18:57:33;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
ITUB4;1;0,02%;102.930.991;Balcão;07/05/2026;18:57:33;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
