;;;;;;;;;Participante doador;;Participante tomador;
Código IF;Quantidade;Taxa % remuneração;Número do negócio;Mercado;Data de referência;Hora;Ação de atualização;Tipo sessão do pregão;Código;Nome doador;Código;Nome tomador
ITSA4;532.200;0,01%;109.588.319;Balcão;31/07/2026;19:35:27;Novo (0);Regular (1);59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA;59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA
ENGI11;7.900;0,07%;109.587.510;Balcão;31/07/2026;19:32:09;Novo (0);Regular (1);59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA;39;AGORA CTVM S/A
ENGI11;3.533;0,07%;109.587.509;Balcão;31/07/2026;19:32:09;Novo (0);Regular (1);59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA;39;AGORA CTVM S/A
TAEE11;922;0,18%;109.588.316;Balcão;31/07/2026;19:27:45;Novo (0);Regular (1);59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA;6003;C6 CORRETORA DE TITULOS E VALORES MOBILIARIOS LTDA
TAEE11;76;0,18%;109.588.317;Balcão;31/07/2026;19:27:45;Novo (0);Regular (1);59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA;6003;C6 CORRETORA DE TITULOS E VALORES MOBILIARIOS LTDA
BOVA11;22;0,41%;109.588.318;Balcão;31/07/2026;19:21:50;Novo (0);Regular (1);120;GENIAL INSTITUCIONAL CCTVM S/A;120;GENIAL INSTITUCIONAL CCTVM S/A
UGPA3;49.962;0,05%;109.582.752;Balcão;31/07/2026;19:21:23;Novo (0);Regular (1);59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA;59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA
VBBR3;3.669;0,01%;109.582.666;Balcão;31/07/2026;19:21:23;Novo (0);Regular (1);59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA;59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA
VAMO3;4.038;0,02%;109.582.550;Balcão;31/07/2026;19:21:23;Novo (0);Regular (1);59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA;59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA
WEGE3;3.298;0,01%;109.582.366;Balcão;31/07/2026;19:21:23;Novo (0);Regular (1);59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA;59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA
PETR3;13.623;0,01%;109.582.764;Balcão;31/07/2026;19:21:20;Novo (0);Regular (1);59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA;59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA
TOTS3;31.308;0,02%;109.582.718;Balcão;31/07/2026;19:21:20;Novo (0);Regular (1);59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA;59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA
GOAU4;2.214;0,01%;109.582.650;Balcão;31/07/2026;19:21:20;Novo (0);Regular (1);59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA;59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA
KLBN11;11.916;0,20%;109.582.651;Balcão;31/07/2026;19:21:20;Novo (0);Regular (1);59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA;59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA
LREN3;19.861;0,01%;109.582.767;Balcão;31/07/2026;19:21:20;Novo (0);Regular (1);59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA;59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA
HYPE3;5.377;0,01%;109.582.667;Balcão;31/07/2026;19:21:20;Novo (0);Regular (1);59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA;59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA
FLRY3;9.760;0,01%;109.582.622;Balcão;31/07/2026;19:21:20;Novo (0);Regular (1);59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA;59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA
CYRE3;4.403;0,03%;109.582.640;Balcão;31/07/2026;19:21:20;Novo (0);Regular (1);59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA;59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA
CMIG4;29.150;0,01%;109.582.709;Balcão;31/07/2026;19:21:19;Novo (0);Regular (1);59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA;59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA
BRAP4;9.370;0,01%;109.582.753;Balcão;31/07/2026;19:21:19;Novo (0);Regular (1);59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA;59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA
CSMG3;2.831;0,15%;109.582.687;Balcão;31/07/2026;19:21:19;Novo (0);Regular (1);59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA;59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA
MGLU3;640;12,66%;109.588.315;Balcão;31/07/2026;19:20:51;Novo (0);Regular (1);120;GENIAL INSTITUCIONAL CCTVM S/A;120;GENIAL INSTITUCIONAL CCTVM S/A
