;;;;;;;;;Participante doador;;Participante tomador;
Código IF;Quantidade;Taxa % remuneração;Número do negócio;Mercado;Data de referência;Hora;Ação de atualização;Tipo sessão do pregão;Código;Nome doador;Código;Nome tomador
AXIA7;1;0,84%;110.557.801;Balcão;12/08/2026;19:17:12;Novo (0);Regular (1);59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA;59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA
AXIA7;4;0,84%;110.557.826;Balcão;12/08/2026;19:17:12;Novo (0);Regular (1);59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA;59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA
AXIA7;4.997;0,84%;110.542.135;Eletrônico D+1;12/08/2026;19:16:55;Novo (0);Regular (1);3;XP INVESTIMENTOS CCTVM S/A;3;XP INVESTIMENTOS CCTVM S/A
CEAB3;758;0,33%;110.600.299;Balcão;12/08/2026;19:12:43;Novo (0);Regular (1);262;MIRAE ASSET WEALTH MANAGEMENT (BRASIL) CCTVM LTDA.;262;MIRAE ASSET WEALTH MANAGEMENT (BRASIL) CCTVM LTDA.
ANIM3;7.678;1,87%;110.600.917;Balcão;12/08/2026;18:53:46;Novo (0);Regular (1);3;XP INVESTIMENTOS CCTVM S/A;8;UBS BRASIL CCTVM S/A
JSLG3;110.416;0,14%;110.600.916;Balcão;12/08/2026;18:53:45;Novo (0);Regular (1);3;XP INVESTIMENTOS CCTVM S/A;8;UBS BRASIL CCTVM S/A
AGRO3;345;0,10%;110.600.921;Balcão;12/08/2026;18:53:45;Novo (0);Regular (1);3;XP INVESTIMENTOS CCTVM S/A;8;UBS BRASIL CCTVM S/A
PMAM3;316.292;1,96%;110.600.922;Balcão;12/08/2026;18:53:45;Novo (0);Regular (1);3;XP INVESTIMENTOS CCTVM S/A;8;UBS BRASIL CCTVM S/A
ANIM3;4.608;1,87%;110.600.920;Balcão;12/08/2026;18:53:45;Novo (0);Regular (1);3;XP INVESTIMENTOS CCTVM S/A;8;UBS BRASIL CCTVM S/A
ANIM3;15.981;1,87%;110.600.914;Balcão;12/08/2026;18:53:45;Novo (0);Regular (1);3;XP INVESTIMENTOS CCTVM S/A;8;UBS BRASIL CCTVM S/A
ANIM3;3.814;1,87%;110.600.918;Balcão;12/08/2026;18:53:45;Novo (0);Regular (1);3;XP INVESTIMENTOS CCTVM S/A;8;UBS BRASIL CCTVM S/A
