;;;;;;;;;Participante doador;;Participante tomador;
Código IF;Quantidade;Taxa % remuneração;Número do negócio;Mercado;Data de referência;Hora;Ação de atualização;Tipo sessão do pregão;Código;Nome doador;Código;Nome tomador
INBR32;5.458;0,02%;103.244.288;Balcão;12/05/2026;18:51:19;Novo (0);Regular (1);122;BGC LIQUIDEZ DTVM LTDA;122;BGC LIQUIDEZ DTVM LTDA
INBR32;6.904;0,02%;103.244.287;Balcão;12/05/2026;18:51:19;Novo (0);Regular (1);122;BGC LIQUIDEZ DTVM LTDA;122;BGC LIQUIDEZ DTVM LTDA
INBR32;15.521;0,02%;103.244.284;Balcão;12/05/2026;18:51:19;Novo (0);Regular (1);122;BGC LIQUIDEZ DTVM LTDA;122;BGC LIQUIDEZ DTVM LTDA
AZZA3;16;39,94%;103.244.307;Balcão;12/05/2026;18:50:48;Novo (0);Regular (1);39;AGORA CTVM S/A;8;UBS BRASIL CCTVM S/A
TAEE11;33.010;1,30%;103.245.288;Balcão;12/05/2026;18:49:18;Novo (0);Regular (1);6003;C6 CORRETORA DE TITULOS E VALORES MOBILIARIOS LTDA;127;TULLETT PREBON BRASIL CVC LTDA.
SANB11;579;1,47%;103.244.310;Balcão;12/05/2026;18:49:18;Novo (0);Regular (1);6003;C6 CORRETORA DE TITULOS E VALORES MOBILIARIOS LTDA;107;TERRA INVESTIMENTOS DTVM LTDA
EGIE3;3.200;1,91%;103.245.202;Balcão;12/05/2026;18:49:18;Novo (0);Regular (1);6003;C6 CORRETORA DE TITULOS E VALORES MOBILIARIOS LTDA;127;TULLETT PREBON BRASIL CVC LTDA.
NATU3;8.100;1,76%;103.245.199;Balcão;12/05/2026;18:49:17;Novo (0);Regular (1);6003;C6 CORRETORA DE TITULOS E VALORES MOBILIARIOS LTDA;127;TULLETT PREBON BRASIL CVC LTDA.
TAEE11;1.290;1,30%;103.245.201;Balcão;12/05/2026;18:49:17;Novo (0);Regular (1);6003;C6 CORRETORA DE TITULOS E VALORES MOBILIARIOS LTDA;127;TULLETT PREBON BRASIL CVC LTDA.
SMTO3;47;1,84%;103.244.315;Balcão;12/05/2026;18:49:17;Novo (0);Regular (1);120;GENIAL INSTITUCIONAL CCTVM S/A;39;AGORA CTVM S/A
TOTS3;5.100;1,82%;103.245.200;Balcão;12/05/2026;18:49:17;Novo (0);Regular (1);6003;C6 CORRETORA DE TITULOS E VALORES MOBILIARIOS LTDA;127;TULLETT PREBON BRASIL CVC LTDA.
TAEE11;903;1,30%;103.244.311;Balcão;12/05/2026;18:49:17;Novo (0);Regular (1);6003;C6 CORRETORA DE TITULOS E VALORES MOBILIARIOS LTDA;107;TERRA INVESTIMENTOS DTVM LTDA
BBDC3;1.780;0,01%;103.195.239;Balcão;12/05/2026;18:44:22;Novo (0);Regular (1);6003;C6 CORRETORA DE TITULOS E VALORES MOBILIARIOS LTDA;6003;C6 CORRETORA DE TITULOS E VALORES MOBILIARIOS LTDA
BRSR6;1.400;0,20%;103.195.241;Balcão;12/05/2026;18:44:22;Novo (0);Regular (1);6003;C6 CORRETORA DE TITULOS E VALORES MOBILIARIOS LTDA;6003;C6 CORRETORA DE TITULOS E VALORES MOBILIARIOS LTDA
BBAS3;14.170;0,03%;103.227.488;Eletrônico D+1;12/05/2026;18:44:22;Novo (0);Regular (1);6003;C6 CORRETORA DE TITULOS E VALORES MOBILIARIOS LTDA;6003;C6 CORRETORA DE TITULOS E VALORES MOBILIARIOS LTDA
MOVI3;730;0,20%;103.238.329;Balcão;12/05/2026;18:42:17;Novo (0);Regular (1);59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA;59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA
MULT3;105;1,14%;103.244.253;Balcão;12/05/2026;18:40:43;Novo (0);Regular (1);39;AGORA CTVM S/A;8;UBS BRASIL CCTVM S/A
AZZA3;384;39,94%;103.244.250;Balcão;12/05/2026;18:40:32;Novo (0);Regular (1);39;AGORA CTVM S/A;8;UBS BRASIL CCTVM S/A
AZZA3;4.200;39,94%;103.244.251;Balcão;12/05/2026;18:40:32;Novo (0);Regular (1);39;AGORA CTVM S/A;8;UBS BRASIL CCTVM S/A
CYRE3;5.506;4,76%;103.166.259;Eletrônico D+1;12/05/2026;18:38:47;Novo (0);Regular (1);59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA;23;NECTON INVESTIMENTOS - BTG PACTUAL CTVM S.A
RENT4;7;0,80%;103.166.328;Eletrônico D+1;12/05/2026;18:38:47;Novo (0);Regular (1);107;TERRA INVESTIMENTOS DTVM LTDA;39;AGORA CTVM S/A
RENT4;7;0,80%;103.166.357;Eletrônico D+1;12/05/2026;18:38:47;Novo (0);Regular (1);107;TERRA INVESTIMENTOS DTVM LTDA;85;BTG PACTUAL CTVM S/A
RENT4;11;0,80%;103.166.517;Eletrônico D+1;12/05/2026;18:38:47;Novo (0);Regular (1);107;TERRA INVESTIMENTOS DTVM LTDA;114;ITAU CV S/A
CYRE3;11.674;4,76%;103.166.284;Eletrônico D+1;12/05/2026;18:38:47;Novo (0);Regular (1);59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA;114;ITAU CV S/A
CYRE3;11.674;4,76%;103.166.197;Eletrônico D+1;12/05/2026;18:38:47;Novo (0);Regular (1);59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA;39;AGORA CTVM S/A
CYRE3;5.506;4,76%;103.166.264;Eletrônico D+1;12/05/2026;18:38:47;Novo (0);Regular (1);59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA;114;ITAU CV S/A
RENT4;7;0,80%;103.166.302;Eletrônico D+1;12/05/2026;18:38:47;Novo (0);Regular (1);107;TERRA INVESTIMENTOS DTVM LTDA;114;ITAU CV S/A
RENT4;12;0,80%;103.166.366;Eletrônico D+1;12/05/2026;18:38:47;Novo (0);Regular (1);107;TERRA INVESTIMENTOS DTVM LTDA;39;AGORA CTVM S/A
RENT4;7;0,80%;103.166.371;Eletrônico D+1;12/05/2026;18:38:47;Novo (0);Regular (1);107;TERRA INVESTIMENTOS DTVM LTDA;3;XP INVESTIMENTOS CCTVM S/A
RENT4;87;0,80%;103.166.383;Eletrônico D+1;12/05/2026;18:38:47;Novo (0);Regular (1);107;TERRA INVESTIMENTOS DTVM LTDA;114;ITAU CV S/A
CYRE3;11.674;4,76%;103.166.286;Eletrônico D+1;12/05/2026;18:38:47;Novo (0);Regular (1);59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA;3;XP INVESTIMENTOS CCTVM S/A
RENT4;11;0,80%;103.166.367;Eletrônico D+1;12/05/2026;18:38:47;Novo (0);Regular (1);107;TERRA INVESTIMENTOS DTVM LTDA;85;BTG PACTUAL CTVM S/A
RENT4;11;0,80%;103.166.362;Eletrônico D+1;12/05/2026;18:38:47;Novo (0);Regular (1);107;TERRA INVESTIMENTOS DTVM LTDA;3;XP INVESTIMENTOS CCTVM S/A
RENT4;87;0,80%;103.166.404;Eletrônico D+1;12/05/2026;18:38:47;Novo (0);Regular (1);107;TERRA INVESTIMENTOS DTVM LTDA;85;BTG PACTUAL CTVM S/A
CYRE3;6.073;4,76%;103.166.196;Eletrônico D+1;12/05/2026;18:38:46;Novo (0);Regular (1);59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA;1130;STONEX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA
CYRE3;11.674;4,76%;103.166.251;Eletrônico D+1;12/05/2026;18:38:46;Novo (0);Regular (1);59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA;85;BTG PACTUAL CTVM S/A
CYRE3;11.674;4,76%;103.166.278;Eletrônico D+1;12/05/2026;18:38:46;Novo (0);Regular (1);59;SAFRA CORRETORA DE VALORES E CAMBIO LTDA;23;NECTON INVESTIMENTOS - BTG PACTUAL CTVM S.A
CYRE3;2.500;4,76%;103.245.225;Balcão;12/05/2026;18:35:10;Novo (0);Regular (1);6003;C6 CORRETORA DE TITULOS E VALORES MOBILIARIOS LTDA;107;TERRA INVESTIMENTOS DTVM LTDA
SBSP3;1.000;0,32%;103.245.283;Balcão;12/05/2026;18:34:18;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
TGAR11;60;0,12%;103.245.282;Balcão;12/05/2026;18:34:15;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
TGAR11;85;0,12%;103.245.281;Balcão;12/05/2026;18:34:15;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
RENT3;50;1,12%;103.245.263;Balcão;12/05/2026;18:34:15;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
WEGE3;500;0,07%;103.245.258;Balcão;12/05/2026;18:34:15;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
PRIO3;100;0,07%;103.245.256;Balcão;12/05/2026;18:34:15;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
MSFT34;63;0,04%;103.245.260;Balcão;12/05/2026;18:34:15;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
RADL3;76;0,10%;103.245.255;Balcão;12/05/2026;18:34:15;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
MCRE11;40;0,13%;103.245.257;Balcão;12/05/2026;18:34:15;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
DIRR3;459;0,04%;103.245.252;Balcão;12/05/2026;18:34:15;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
MGLU3;50;24,16%;103.245.254;Balcão;12/05/2026;18:34:15;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
RADL3;24;0,10%;103.245.251;Balcão;12/05/2026;18:34:15;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
JSLG3;132;0,15%;103.245.253;Balcão;12/05/2026;18:34:14;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
JSLG3;9;0,15%;103.245.250;Balcão;12/05/2026;18:34:14;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
BRKM5;900;13,32%;103.245.244;Balcão;12/05/2026;18:34:14;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
MCRE11;673;0,13%;103.245.248;Balcão;12/05/2026;18:34:14;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
BBDC4;200;0,04%;103.245.249;Balcão;12/05/2026;18:34:14;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
BRKM5;1.100;13,32%;103.245.245;Balcão;12/05/2026;18:34:14;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
MCRE11;375;0,13%;103.245.247;Balcão;12/05/2026;18:34:14;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
BRKM5;5.000;13,32%;103.245.246;Balcão;12/05/2026;18:34:14;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
BRKM5;300;13,32%;103.245.242;Balcão;12/05/2026;18:34:14;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
BERK34;10;0,10%;103.245.243;Balcão;12/05/2026;18:34:14;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
JSLG3;200;0,15%;103.245.241;Balcão;12/05/2026;18:34:14;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
BRKM5;1.000;13,32%;103.245.238;Balcão;12/05/2026;18:34:14;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
ALZR11;10;0,26%;103.245.239;Balcão;12/05/2026;18:34:14;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
